customer_id,churn_probability
CUST00001,0.9665
CUST00002,0.0214
CUST00003,0.0609
CUST00004,0.0273
CUST00005,0.9237
CUST00006,0.0804
CUST00007,0.9972
CUST00008,0.9899
CUST00009,0.9973
CUST00010,0.9424
CUST00011,0.9852
CUST00012,0.9996
CUST00013,0.984
CUST00014,1.0
CUST00015,1.0
CUST00016,0.0231
CUST00017,0.0476
CUST00018,0.9819
CUST00019,0.0476
CUST00020,0.0245
CUST00021,0.0219
CUST00022,0.0292
CUST00023,0.9726
CUST00024,0.0428
CUST00025,0.992
CUST00026,0.0251
CUST00027,0.9651
CUST00028,0.9798
CUST00029,0.9495
CUST00030,0.9982
CUST00031,0.9975
CUST00032,0.9982
CUST00033,0.9772
CUST00034,0.9939
CUST00035,0.9999
CUST00036,0.9934
CUST00037,0.0271
CUST00038,0.987
CUST00039,0.0554
CUST00040,0.9991
CUST00041,0.0517
CUST00042,0.982
CUST00043,0.9899
CUST00044,0.9467
CUST00045,0.9985
CUST00046,0.9695
CUST00047,0.9659
CUST00048,0.9725
CUST00049,0.0602
CUST00050,0.0292
CUST00051,0.989
CUST00052,0.9877
CUST00053,0.9897
CUST00054,1.0
CUST00055,0.9949
CUST00056,0.9992
CUST00057,0.9884
CUST00058,0.0327
CUST00059,0.9799
CUST00060,0.0508
CUST00061,0.9785
CUST00062,0.0313
CUST00063,0.9845
CUST00064,1.0
CUST00065,0.9564
CUST00066,0.9857
CUST00067,0.9982
CUST00068,0.9987
CUST00069,0.9501
CUST00070,0.9882
CUST00071,0.034
CUST00072,0.0621
CUST00073,0.0743
CUST00074,0.9327
CUST00075,0.9717
CUST00076,0.9882
CUST00077,0.0371
CUST00078,0.0834
CUST00079,0.9857
CUST00080,0.9862
CUST00081,0.0679
CUST00082,0.9555
CUST00083,0.9894
CUST00084,0.9851
CUST00085,0.9922
CUST00086,0.9781
CUST00087,0.9742
CUST00088,0.0293
CUST00089,0.9445
CUST00090,0.9676
CUST00091,0.9616
CUST00092,0.9999
CUST00093,0.9684
CUST00094,0.9391
CUST00095,0.9754
CUST00096,0.9898
CUST00097,0.9674
CUST00098,0.9996
CUST00099,0.0571
CUST00100,0.0284
CUST00101,0.0179
CUST00102,0.0355
CUST00103,0.9871
CUST00104,0.0261
CUST00105,0.9983
CUST00106,0.0151
CUST00107,0.0256
CUST00108,0.9364
CUST00109,0.0541
CUST00110,0.0312
CUST00111,0.9932
CUST00112,0.9473
CUST00113,0.9338
CUST00114,0.9766
CUST00115,0.9999
CUST00116,0.0416
CUST00117,0.9676
CUST00118,0.9598
CUST00119,0.0518
CUST00120,0.0242
CUST00121,1.0
CUST00122,0.9705
CUST00123,0.9881
CUST00124,0.0819
CUST00125,0.971
CUST00126,0.0697
CUST00127,0.0378
CUST00128,0.9935
CUST00129,0.041
CUST00130,0.9962
CUST00131,0.0436
CUST00132,0.9623
CUST00133,0.9877
CUST00134,0.9921
CUST00135,0.9929
CUST00136,0.9498
CUST00137,0.9904
CUST00138,0.0543
CUST00139,0.9849
CUST00140,0.9821
CUST00141,0.9852
CUST00142,1.0
CUST00143,0.9798
CUST00144,0.985
CUST00145,0.9734
CUST00146,0.988
CUST00147,0.0673
CUST00148,0.9672
CUST00149,0.0201
CUST00150,1.0
CUST00151,0.9576
CUST00152,0.985
CUST00153,0.9922
CUST00154,0.0571
CUST00155,0.9919
CUST00156,0.9774
CUST00157,0.9856
CUST00158,0.0568
CUST00159,0.9826
CUST00160,0.9749
CUST00161,0.9911
CUST00162,0.9747
CUST00163,0.9841
CUST00164,0.079
CUST00165,0.9729
CUST00166,0.9905
CUST00167,0.0911
CUST00168,0.0677
CUST00169,0.9972
CUST00170,0.0242
CUST00171,0.9598
CUST00172,0.993
CUST00173,0.9904
CUST00174,0.9411
CUST00175,0.986
CUST00176,0.9996
CUST00177,0.0426
CUST00178,0.9999
