customer_id,default_probability
CUST00001,0.9557
CUST00002,0.9644
CUST00003,0.9436
CUST00004,0.9639
CUST00005,0.1061
CUST00006,0.9462
CUST00007,0.9696
CUST00008,0.9372
CUST00009,0.0726
CUST00010,0.9469
CUST00011,0.9979
CUST00012,1.0
CUST00013,0.0893
CUST00014,0.9646
CUST00015,0.9566
CUST00016,0.0848
CUST00017,0.9505
CUST00018,0.9647
CUST00019,0.09
CUST00020,0.1148
CUST00021,0.9501
CUST00022,0.9484
CUST00023,0.0814
CUST00024,0.9555
CUST00025,0.9543
CUST00026,0.1043
CUST00027,0.9986
CUST00028,0.998
CUST00029,0.9634
CUST00030,0.9983
CUST00031,0.0743
CUST00032,0.9526
CUST00033,0.0655
CUST00034,0.967
CUST00035,0.9448
CUST00036,0.9596
CUST00037,0.1251
CUST00038,0.9608
CUST00039,0.9454
CUST00040,0.0834
CUST00041,0.0977
CUST00042,0.954
CUST00043,0.9511
CUST00044,0.9647
CUST00045,0.0581
CUST00046,0.9533
CUST00047,0.0986
CUST00048,0.1062
CUST00049,0.9715
CUST00050,0.9949
CUST00051,0.9615
CUST00052,0.0841
CUST00053,1.0
CUST00054,0.1037
CUST00055,0.9629
CUST00056,0.9617
CUST00057,0.0765
CUST00058,0.946
CUST00059,0.9563
CUST00060,0.9523
CUST00061,0.9604
CUST00062,0.964
CUST00063,0.1113
CUST00064,0.954
CUST00065,0.9518
CUST00066,0.1042
CUST00067,0.9643
CUST00068,0.967
CUST00069,0.0822
CUST00070,0.9625
CUST00071,0.9597
CUST00072,0.1133
CUST00073,0.08
CUST00074,0.9207
CUST00075,0.0944
CUST00076,0.9597
CUST00077,0.0784
CUST00078,0.9483
CUST00079,0.9631
CUST00080,0.9592
CUST00081,0.9451
CUST00082,0.9626
CUST00083,0.959
CUST00084,0.9525
CUST00085,0.0922
CUST00086,0.0852
CUST00087,0.9643
CUST00088,0.0868
CUST00089,0.9569
CUST00090,0.9493
CUST00091,0.9576
CUST00092,0.9544
CUST00093,0.9647
CUST00094,0.0962
CUST00095,0.9553
CUST00096,0.9976
CUST00097,0.957
CUST00098,0.9523
CUST00099,0.9439
CUST00100,0.9485
CUST00101,0.9957
CUST00102,0.9488
CUST00103,0.9611
CUST00104,0.1115
CUST00105,0.955
CUST00106,0.9058
CUST00107,0.964
CUST00108,0.957
CUST00109,0.0887
CUST00110,0.9651
CUST00111,0.9649
CUST00112,0.9624
CUST00113,0.1146
CUST00114,0.9658
CUST00115,0.9516
CUST00116,0.9592
CUST00117,0.9407
CUST00118,0.9526
CUST00119,0.9571
CUST00120,0.9698
CUST00121,0.9462
CUST00122,0.0756
CUST00123,0.1433
CUST00124,0.1261
CUST00125,0.1231
CUST00126,0.9421
CUST00127,0.9484
CUST00128,0.0534
CUST00129,0.9519
CUST00130,0.9625
CUST00131,0.0996
CUST00132,0.0759
CUST00133,0.958
CUST00134,0.9727
CUST00135,0.9954
CUST00136,0.9513
CUST00137,0.9621
CUST00138,0.1271
CUST00139,0.0927
CUST00140,0.0765
CUST00141,0.9614
CUST00142,0.0786
CUST00143,0.9662
CUST00144,0.9557
CUST00145,0.9498
CUST00146,0.9578
CUST00147,0.086
CUST00148,0.9973
CUST00149,0.0742
CUST00150,0.0936
CUST00151,0.9968
CUST00152,0.9659
CUST00153,0.1047
CUST00154,0.9578
CUST00155,0.9388
CUST00156,0.9571
CUST00157,0.9614
CUST00158,0.9497
CUST00159,0.9629
CUST00160,0.0832
CUST00161,0.9707
CUST00162,0.9658
CUST00163,0.9529
CUST00164,0.9504
CUST00165,0.9664
CUST00166,0.1029
CUST00167,0.9426
CUST00168,0.088
CUST00169,0.1072
CUST00170,0.9574
CUST00171,0.9447
CUST00172,0.9536
CUST00173,0.0883
CUST00174,0.9655
CUST00175,0.9643
CUST00176,0.9691
CUST00177,0.9524
CUST00178,0.9474
CUST00179,0.9613
CUST00180,0.0629
CUST00181,0.0704
CUST00182,0.9958
CUST00183,0.95
CUST00184,0.9399
CUST00185,0.1204
CUST00186,0.9615
CUST00187,0.1136
CUST00188,0.9671
CUST00189,0.1009
CUST00190,0.9543
CUST00191,0.9535
CUST00192,0.0646
CUST00193,0.0723
CUST00194,0.9602
CUST00195,0.0742
CUST00196,0.9544
CUST00197,0.9559
CUST00198,0.1168
CUST00199,0.9446
CUST00200,0.9654
CUST00201,0.072
CUST00202,0.9527
CUST00203,0.9537
CUST00204,0.959
CUST00205,0.9709
CUST00206,0.9989
CUST00207,0.9601
CUST00208,0.9943
CUST00209,0.9504
CUST00210,0.0972
CUST00211,0.0962
CUST00212,0.9444
CUST00213,0.9642
CUST00214,0.9459
CUST00215,0.9505
CUST00216,0.0778
CUST00217,0.9653
CUST00218,0.9512
CUST00219,0.1038
CUST00220,0.9566
CUST00221,0.9567
CUST00222,0.954
CUST00223,0.0627
CUST00224,0.0773
CUST00225,0.0902
CUST00226,0.9567
CUST00227,0.954
CUST00228,0.9555
CUST00229,0.9531
CUST00230,0.0705
CUST00231,0.9586
CUST00232,0.9587
CUST00233,0.9459
CUST00234,0.12
CUST00235,0.9485
CUST00236,0.9621
CUST00237,0.9954
CUST00238,0.9685
CUST00239,0.0874
CUST00240,0.1222
CUST00241,0.1037
CUST00242,0.9574
CUST00243,0.094
CUST00244,0.0927
CUST00245,0.0788
CUST00246,0.9664
CUST00247,0.9494
CUST00248,0.9503
CUST00249,0.9502
CUST00250,0.1117
CUST00251,0.9533
CUST00252,0.9635
