customer_id,age,region,product_type,monthly_transaction_volume,avg_transaction_value,days_since_last_txn,loan_amount,late_payments_last_12m,credit_utilization_ratio,churn_label,default_label,chat_count,negative_count,positive_count,complaint_flag,all_keywords,sentiment_ratio,sentiment_score,engagement_score,high_utilization,frequent_complainer,low_engagement
CUST00001,30,South Africa,savings,108.0,4771.66,140,0.0,8,0.105,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6434,0,0,0
CUST00002,36,Nigeria,both,89.0,4952.35,25,6481.41,10,0.1362,0,1,1.0,0.0,0.0,0,,0.0,0.0042,0.8535,0,0,0
CUST00003,62,South Africa,savings,25.0,4167.5,55,0.0,6,0.6137,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.559,0,0,0
CUST00004,23,Nigeria,both,119.0,2224.98,27,962.5,4,0.7088,0,1,1.0,0.0,0.0,0,,0.0,0.0042,0.8009,0,0,0
CUST00005,23,Kenya,loans,119.0,2741.57,80,48928.64,0,0.7541,1,0,1.0,1.0,0.0,1,fraud,0.0,0.0058,0.7083,1,0,0
CUST00006,33,South Africa,savings,5.0,2521.5,55,0.0,7,0.5187,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4179,0,0,0
CUST00007,49,South Africa,loans,4.0,786.78,147,16401.24,10,0.6004,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.1226,0,0,1
CUST00008,59,South Africa,savings,30.0,4273.53,138,0.0,1,0.9746,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.3935,1,0,0
CUST00009,47,Kenya,both,95.0,3382.2,159,31144.16,2,0.3482,1,0,2.0,2.0,0.0,1,"poor service, blocked",0.0,0.0073,0.4932,0,1,0
CUST00010,43,Nigeria,savings,72.0,3193.3,74,0.0,6,0.2142,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6061,0,0,0
CUST00011,63,Nigeria,loans,62.0,1109.45,96,14798.97,6,0.969,1,1,1.0,1.0,0.0,0,,0.0,0.0058,0.4233,1,0,0
CUST00012,26,South Africa,savings,50.0,774.26,154,0.0,5,0.9188,1,1,1.0,0.0,0.0,0,,0.0,0.0056,0.2416,1,0,1
CUST00013,64,Nigeria,loans,58.0,4366.4,128,42069.83,1,0.0071,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.5029,0,0,0
CUST00014,34,South Africa,loans,76.0,905.28,170,6914.64,5,0.4019,1,1,2.0,1.0,1.0,1,blocked,0.5,0.9869,0.2889,0,0,1
CUST00015,32,Nigeria,savings,8.0,377.86,176,0.0,6,0.7348,1,1,1.0,0.0,1.0,1,blocked,1.0,0.9847,0.0491,0,0,1
CUST00016,67,Kenya,both,70.0,3131.77,14,30644.81,2,0.1775,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.7312,0,0,0
CUST00017,51,Nigeria,savings,27.0,3524.67,43,0.0,7,0.0319,0,1,1.0,1.0,0.0,1,blocked,0.0,0.0073,0.5596,0,0,0
CUST00018,40,Kenya,savings,94.0,606.92,128,0.0,10,0.0364,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4208,0,0,0
CUST00019,35,South Africa,loans,24.0,1042.23,18,27720.24,1,0.5648,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.4825,0,0,0
CUST00020,40,Nigeria,savings,9.0,3945.93,16,0.0,0,0.2303,0,0,0.0,0.0,0.0,0,,0.5,0.0849,0.588,0,0,0
CUST00021,59,South Africa,loans,52.0,4648.63,25,9853.87,6,0.2579,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.7295,0,0,0
CUST00022,25,Nigeria,both,53.0,2387.68,13,44058.69,9,0.0152,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6462,0,0,0
CUST00023,27,South Africa,savings,62.0,3962.1,120,0.0,1,0.7259,1,0,1.0,0.0,0.0,0,,0.0,0.0051,0.5123,0,0,0
CUST00024,33,South Africa,loans,103.0,1603.81,50,4447.92,11,0.8436,0,1,0.0,0.0,0.0,0,,0.5,0.0849,0.6714,1,0,0
CUST00025,43,South Africa,savings,84.0,3519.14,169,0.0,5,0.7335,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4454,0,0,0
CUST00026,60,Kenya,savings,44.0,2790.53,19,0.0,1,0.1363,0,0,2.0,0.0,1.0,0,,0.5,0.9869,0.6265,0,0,0
CUST00027,28,Nigeria,savings,87.0,4217.62,82,0.0,5,0.9572,1,1,1.0,0.0,1.0,0,,1.0,0.9847,0.6835,1,0,0
CUST00028,58,Kenya,savings,60.0,3881.75,119,0.0,5,0.9621,1,1,1.0,0.0,0.0,0,,0.0,0.0056,0.5046,1,0,0
CUST00029,65,Kenya,loans,27.0,1427.84,65,25566.64,4,0.2591,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.4056,0,0,0
CUST00030,40,Nigeria,both,3.0,755.78,129,37403.36,7,0.9831,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.1583,1,0,1
CUST00031,67,Nigeria,both,1.0,4040.21,151,8346.29,2,0.4442,1,0,0.0,0.0,0.0,0,,0.5,0.0849,0.2675,0,0,1
CUST00032,64,South Africa,savings,27.0,173.63,115,0.0,11,0.0417,1,1,0.0,0.0,0.0,0,,0.5,0.0849,0.2311,0,0,1
CUST00033,59,Kenya,both,98.0,3398.4,109,32837.43,3,0.5754,1,0,1.0,0.0,0.0,0,,0.0,0.0047,0.6146,0,0,0
